name,cad_raw_name,type
"0-咖啡冷萃机","0-¿§·ɀ",EMPTY
"1-1-底座","1-1-µ֥",MESH
"1-2-脚","1-2-½Ĭ",MESH
"1-3-脚垫钉","1-3-脚垫钉",MESH
"1-3-脚垫钉_1","1-3-脚垫钉.001",MESH
"1-3-脚垫钉_2","1-3-脚垫钉.002",MESH
"1-3-脚垫钉_3","1-3-脚垫钉.003",MESH
"1-底部组件","1-µײ¿l",EMPTY
"2-1-玻璃杯","2-1-²£g»stog",MESH
"2-2-内外连接环","2-2-Ś΢l连接环",MESH
"2-3-内胆","2-3-Ś-",MESH
"2-4-垫圈1","2-4-µ爦1-W1",MESH
"2-5-垫圈1b","2-5-µ爦1-W1",MESH
"2-下层液仓","2-Ђ²",EMPTY
"3-1-中间部分主体","3-1-א¼䲿s",MESH
"3-2-单向阀","3-2-µ¥в",MESH
"3-3-粉饼","3-3-·Û±ýi",MESH
"3-4","3-4-¿§·ǩ",MESH
"3-5-中间部分顶盖","3-5-א¼䲿部分顶盖",MESH
"3-6-按钮","3-6-°´ť	c®նP[",MESH
"3-7-ts-1102sd-c-e-b","3-7-ts-1102sd-c-e-b",MESH
"3-8-按钮PC板","3-8-°´ťPC®P",MESH
"3-中间组件","3-א¼䗴装配",EMPTY
"4-1-玻璃杯2","4-1-²£gi",MESH
"4-2-内外连接环2","4-2-Ś΢lm",MESH
"4-3-内胆2","4-3-Śµ¨Qƀ2",MESH
"4-4-冰盖","4-4-±ù¸Çå­",MESH
"4-5-垫圈2","4-5-µ爦2-W2",MESH
"4-6-垫圈2b","4-6-µ爦2-2-2",MESH
"4-上层组件","4-ʏĦ",EMPTY
"5-1-顶座","5-1-¶¥-",MESH
"5-2-顶盖","5-2-¶¥¸Ǜ盖子",MESH
"5-3-盖子","5-3-盖子",MESH
"5-3-盖子_1","5-3-盖子.001",MESH
"5-3-盖子_2","5-3-盖子.002",MESH
"5-3-盖子_3","5-3-盖子.003",MESH
"5-顶部组件","5-¶¥²¿葅M",EMPTY
"6-1-水泵","6-1-水泵",MESH
"6-1-水泵_1","6-1-水泵.001",MESH
"6-2-电气件","6-2-µ臸6",MESH
"6-4","6-4-µ",MESH
"6-5","6-5-Ǹ-",MESH
"6-5_1","6-5-Ǹ4",MESH
"6-6-管","6-6-管",MESH
"6-6-管_1","6-6-管.001",MESH
"6-电气组件","6-µ臸o",EMPTY
"l-内六角圆柱头螺钉-GBT70.2","l-内六角圆柱头螺钉-GBT70.2",MESH
"l-内六角圆柱头螺钉-GBT70_1","l-内六角圆柱头螺钉-GBT70.001",MESH
"l-内六角圆柱头螺钉-GBT70_10","l-内六角圆柱头螺钉-GBT70.010",MESH
"l-内六角圆柱头螺钉-GBT70_11","l-内六角圆柱头螺钉-GBT70.011",MESH
"l-内六角圆柱头螺钉-GBT70_12","l-内六角圆柱头螺钉-GBT70.012",MESH
"l-内六角圆柱头螺钉-GBT70_3","l-内六角圆柱头螺钉-GBT70.003",MESH
"l-内六角圆柱头螺钉-GBT70_4","l-内六角圆柱头螺钉-GBT70.004",MESH
"l-内六角圆柱头螺钉-GBT70_5","l-内六角圆柱头螺钉-GBT70.005",MESH
"l-内六角圆柱头螺钉-GBT70_6","l-内六角圆柱头螺钉-GBT70.006",MESH
"l-内六角圆柱头螺钉-GBT70_7","l-内六角圆柱头螺钉-GBT70.007",MESH
"l-内六角圆柱头螺钉-GBT70_8","l-内六角圆柱头螺钉-GBT70.008",MESH
"l-内六角圆柱头螺钉-GBT70_9","l-内六角圆柱头螺钉-GBT70.009",MESH
"l-平垫圈-GBT95","l-平垫圈-GBT95",MESH
"l-平垫圈-GBT95_1","l-平垫圈-GBT95.001",MESH
"l-平垫圈-GBT95_2","l-平垫圈-GBT95.002",MESH
"l-平垫圈-GBT95_3","l-平垫圈-GBT95.003",MESH
